,company,ticker,occurance,profit ($ millions),revenue ($ millions),year,Industry
41,3M,MMM,31,5349,32765,2019,Industrials
36,Abbott Laboratories,ABT,31,5962.9,39873.9,2019,Health Care
74,Alcoa,AA,30,2564,30896,2019,Industrials
13,Altria Group,MO,31,14239,72944,2019,Consumer Staples
95,American Electric Power,AEP,25,2047,61257,2019,Utilities
32,American Express,AXP,25,6921,43281,2019,Financials
111,AmerisourceBergen,ABC,25,1658.4,167939.6,2019,Health Care
55,Applied Materials,AMAT,28,3434,17253,2019,Information Technology
85,Archer Daniels Midland,ADM,31,2248,89804,2019,Consumer Staples
147,Arrow Electronics,ARW,25,716.2,29676.8,2019,Industrials
96,Ashland,ASH,28,2004,13567,2016,Materials
2,AT&T,T,25,29450,170756,2019,Communication Services
158,Avery Dennison,AVY,31,467.4,7159,2019,Materials
148,Avnet,AVT,25,669.1,27925,2019,Industrials
140,Avon Products,AVP,30,875.3,11291.6,2018,Consumer Discretionary
80,Baker Hughes,BHI,29,2419,24551,2017,Energy
157,Ball,BLL,29,470,11635,2019,Materials
47,Baxter International,BAX,31,4965,16972,2019,Health Care
122,Becton Dickinson,BDX,31,1317.6,15983,2019,Health Care
1,Berkshire Hathaway,BRK-A,31,44940,247837,2019,Financials
116,Best Buy,BBY,25,1464,50272,2019,Consumer Discretionary
22,Boeing,BA,31,10460,101127,2019,Industrials
20,Bristol-Myers Squibb,BMY,31,10612,22561,2019,Health Care
127,Campbell Soup,CPB,31,1165,8685,2019,Consumer Staples
98,Cardinal Health,CAH,25,1931.1,136809,2019,Health Care
35,Caterpillar,CAT,31,6147,65875,2019,Industrials
65,CBS,CBS,27,2959,15685,2019,Communication Services
105,CenterPoint Energy,CNP,25,1792,46225.8,2019,Utilities
72,Cigna,CI,25,2637,48650,2019,Health Care
3,Citigroup,C,25,24589,159229,2019,Financials
131,Clorox,CLX,26,1096,6124,2019,Consumer Staples
150,CMS Energy,CMS,25,657,12977,2019,Utilities
17,Coca-Cola,KO,31,11809,48017,2019,Consumer Staples
145,Coca-Cola Enterprises,,27,749,21807,2015,Consumer Staples
76,Colgate-Palmolive,CL,31,2472,17420,2019,Consumer Staples
136,ConAgra Foods,CAG,28,978.4,27629.6,2016,Consumer Staples
11,ConocoPhillips,COP,31,15550,237272,2019,Energy
114,Consolidated Edison,ED,25,1525,13725.9,2019,Utilities
43,Corning,GLW,30,5257,11290,2019,Information Technology
153,Crown Holdings,CCK,31,557,11151,2019,Industrials
38,CSX,CSX,25,5471,12669,2019,Industrials
90,Cummins,CMI,31,2141,23771,2019,Industrials
57,Danaher,DHR,27,3357,20909,2019,Health Care
141,Dean Foods,DF,34,813,13055.5,2019,Consumer Staples
52,Deere,DE,31,3537,37795,2019,Industrials
21,Delta Air Lines,DAL,25,10540,44438,2019,Industrials
135,Dover,DOV,31,1003,9123,2019,Industrials
28,Dow Chemical,DOW,29,7685,59985,2017,Materials
130,DTE Energy,DTE,25,1134,14212,2019,Utilities
63,Duke Energy,DUK,25,3059,59503,2019,Utilities
27,DuPont,DD,29,7690,41304,2017,Materials
119,Eastman Chemical,EMN,25,1384,10151,2019,Materials
113,Edison International,EIX,25,1612,14112,2019,Utilities
46,Eli Lilly,LLY,31,5069.5,24555.7,2019,Health Care
71,Emerson Electric,EMR,31,2710,25281,2019,Industrials
120,Entergy,ETR,25,1346.4,13093.8,2019,Utilities
51,Exelon,EXC,25,3770,35985,2019,Utilities
0,Exxon Mobil,XOM,31,45220,452926,2019,Energy
48,FedEx,FDX,25,4572,65450,2019,Industrials
100,First Data,FDC,25,1875.2,12052,2019,Information Technology
149,Foot Locker,FL,25,664,8293,2019,Consumer Discretionary
7,Ford Motor,F,31,22071,180598,2019,Consumer Discretionary
109,Gannett,GCI,26,1719.1,8033.4,2014,Communication Services
124,Gap,GPS,25,1280,16580,2019,Consumer Discretionary
58,General Dynamics,GD,31,3345,36193,2019,Industrials
6,General Electric,GE,31,22208,183207,2019,Industrials
91,General Mills,GIS,31,2131,17910,2019,Consumer Staples
23,General Motors,GM,31,9687,207349,2019,Consumer Discretionary
142,Genuine Parts,GPC,25,810.5,18735.1,2019,Consumer Discretionary
77,Goodyear Tire & Rubber,GT,31,2452,22767,2019,Industrials
162,Graybar Electric,,25,143.3,7202.5,2019,Energy
133,H.J. Heinz,,27,1013,11649.1,2015,Consumer Staples
53,Halliburton,HAL,25,3500,32870,2019,Energy
24,Hewlett-Packard,HPE,26,8761,127245,2014,Information Technology
18,Home Depot,HD,25,11121,108203,2019,Consumer Discretionary
134,Hormel Foods,HRL,31,1012.1,9545.7,2019,Consumer Staples
79,Humana,HUM,25,2448,56912,2019,Health Care
66,Illinois Tool Works,ITW,31,2946,18256.8,2019,Industrials
9,Intel,INTC,31,21053,70848,2019,Information Technology
89,International Paper,IP,31,2144,29080,2019,Materials
128,J.C. Penney,JCP,25,1153,32965,2019,Consumer Discretionary
10,Johnson & Johnson,JNJ,31,16540,81581,2019,Health Care
112,Johnson Controls,JCI,28,1624,43855,2016,Industrials
104,Kellogg,K,31,1807,14792,2019,Consumer Staples
84,Kimberly-Clark,KMB,31,2278,21152,2019,Consumer Staples
61,Kroger,KR,25,3110,122662,2019,Consumer Staples
123,Lear,LEA,30,1313.4,21148.5,2019,Industrials
94,Lincoln National,LNC,25,2079,16424,2019,Financials
42,Lockheed Martin,LMT,31,5302,53762,2019,Industrials
49,Loews,L,25,4530,20952.6,2019,Financials
44,Marathon Oil,MRO,29,5234,73504,2019,Energy
75,Marsh & McLennan,MMC,25,2475,14950,2019,Financials
137,Masco,MAS,31,940,12884,2019,Industrials
138,Mattel,MAT,29,904,6485,2017,Consumer Discretionary
132,McGraw-Hill,MHFI,25,1013.6,6772.3,2013,Communication Services
45,McKesson,MCK,25,5070,208357,2019,Health Care
14,Merck,MRK,31,12901.3,51790.3,2019,Health Care
31,MetLife,MET,25,6981,73316,2019,Financials
4,Microsoft,MSFT,25,23150,110360,2019,Information Technology
70,Monsanto,MON,29,2740,19299,2018,Consumer Staples
25,Morgan Stanley,MS,25,8748,87879,2019,Financials
92,Nationwide,,25,2113,43939.9,2019,Financials
108,Navistar International,NAV,29,1723,14724,2019,Consumer Discretionary
154,NCR,NCR,25,529,6591,2019,Information Technology
101,New York Life Insurance,,25,1866.9,45891,2019,Financials
